epoch,time(s),learning late,train_loss,validation_loss,validation_error(%)
00130,00196,0.02800376147678916919,0.187663,4.00,0.00140917,31.04
00131,00196,0.02730120200827253554,0.147131,3.73,0.00124921,29.48
00132,00196,0.02660424325187847605,0.177024,3.53,0.00133358,31.49
00133,00196,0.02591305717175128309,0.130510,3.20,0.00126090,29.92
00134,00196,0.02522781430771383823,0.126636,2.80,0.00131091,29.67
00135,00196,0.02454868373318931304,0.113332,2.87,0.00122971,29.04
00136,00196,0.02387583301348492060,0.145540,2.52,0.00126091,29.09
00137,00196,0.02320942816444765064,0.111664,2.14,0.00117676,27.53
00138,00196,0.02254963361150240722,0.123520,2.32,0.00130505,30.04
00139,00196,0.02189661214908240894,0.123636,2.47,0.00140218,31.10
00140,00196,0.02125052490046211440,0.114659,2.27,0.00119232,27.97
00141,00196,0.02061153127800249840,0.112784,2.29,0.00130838,29.56
00142,00196,0.01997978894381846962,0.084386,1.75,0.00112966,26.71
00143,00196,0.01935545377087801583,0.068989,1.57,0.00112561,26.72
00144,00196,0.01873867980454292648,0.090455,1.41,0.00122058,28.49
00145,00196,0.01812961922456039071,0.066075,1.43,0.00107599,25.81
00146,00196,0.01752842230751499100,0.060150,1.04,0.00117293,27.09
00147,00196,0.01693523738975007825,0.061515,1.14,0.00106842,25.67
00148,00196,0.01635021083076810405,0.046762,1.10,0.00106509,24.38
00149,00196,0.01577348697711853168,0.043863,0.77,0.00114463,26.64
00150,00196,0.01520520812678258227,0.040037,0.80,0.00106927,25.10
00151,00196,0.01464551449406322273,0.033063,0.51,0.00106062,25.26
00152,00196,0.01409454417498944880,0.021769,0.32,0.00104416,24.49
00153,00196,0.01355243311324314665,0.020463,0.27,0.00097650,23.01
00154,00196,0.01301931506661700710,0.018824,0.17,0.00095256,23.10
00155,00196,0.01249532157401184174,0.014081,0.15,0.00093172,22.55
00156,00196,0.01198058192298125449,0.012704,0.19,0.00090852,22.26
00157,00197,0.01147522311783193139,0.011601,0.16,0.00089372,21.87
00158,00197,0.01097936984828717932,0.018432,0.11,0.00086217,21.23
00159,00197,0.01049314445872166768,0.009180,0.08,0.00085656,21.22
00160,00197,0.01001666691797472100,0.010151,0.09,0.00087590,21.41
00161,00197,0.00955005478974982162,0.008444,0.05,0.00083226,20.59
00162,00196,0.00909342320360753166,0.011913,0.07,0.00083853,20.86
00163,00196,0.00864688482655904048,0.007250,0.04,0.00082936,20.36
00164,00196,0.00821054983526718282,0.009001,0.05,0.00082225,20.51
00165,00196,0.00778452588886200877,0.007072,0.04,0.00082206,20.55
00166,00196,0.00736891810237756857,0.007591,0.05,0.00082555,20.41
00167,00196,0.00696382902081632560,0.009277,0.06,0.00082407,20.54
00168,00196,0.00656935859384766459,0.006815,0.04,0.00081869,20.19
00169,00196,0.00618560415114684931,0.008291,0.04,0.00083040,20.43
00170,00196,0.00581266037838037205,0.007621,0.04,0.00082891,20.48
00171,00196,0.00545061929384370574,0.006912,0.03,0.00081424,20.20
00172,00196,0.00509957022575710430,0.007018,0.04,0.00081819,20.13
00173,00196,0.00475959979022526607,0.007703,0.03,0.00082307,20.44
00174,00196,0.00443079186986605322,0.007315,0.02,0.00080870,19.91
00175,00196,0.00411322759311378607,0.007551,0.04,0.00081549,20.07
00176,00196,0.00380698531420191897,0.006584,0.03,0.00081110,19.92
00177,00196,0.00351214059383037720,0.006788,0.02,0.00081911,20.18
